Time: (07-19-2026-13-29-45)
(07-19-2026-13-29-45): Trying to initalize the font
(07-19-2026-13-29-45): Trying to initalize the font
(07-19-2026-13-29-45): bob: launched main function and got settings from Settings.json
(07-19-2026-13-29-45): bob: Launching main loop
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: Appended powerup: h
(07-19-2026-13-29-45): bob: deleted bullet:<Bullet.Bullet object at 0x0000028061B935C0>
(07-19-2026-13-29-45): bob: deleted bullet:<Bullet.Bullet object at 0x0000028061BCC770>
(07-19-2026-13-29-45): bob: deleted bullet:<Bullet.Bullet object at 0x0000028061BCD430>
(07-19-2026-13-29-45): sys: quited the game
